Round,GP Name,Position,Driver No,Driver,Points,Championship Won
1,Gulf Air Bahrain GP,1,1,Max Verstappen,26,false
1,Gulf Air Bahrain GP,2,11,Sergio Perez,18,false
1,Gulf Air Bahrain GP,3,55,Carlos Sainz,15,false
1,Gulf Air Bahrain GP,4,16,Charles Leclerc,12,false
1,Gulf Air Bahrain GP,5,63,George Russell,10,false
1,Gulf Air Bahrain GP,6,4,Lando Norris,8,false
1,Gulf Air Bahrain GP,7,44,Lewis Hamilton,6,false
1,Gulf Air Bahrain GP,8,81,Oscar Piastri,4,false
1,Gulf Air Bahrain GP,9,14,Fernando Alonso,2,false
1,Gulf Air Bahrain GP,10,18,Lance Stroll,1,false
1,Gulf Air Bahrain GP,11,24,Guanyu Zhou,0,false
1,Gulf Air Bahrain GP,12,20,Kevin Magnussen,0,false
1,Gulf Air Bahrain GP,13,3,Daniel Ricciardo,0,false
1,Gulf Air Bahrain GP,14,22,Yuki Tsunoda,0,false
1,Gulf Air Bahrain GP,15,23,Alexander Albon,0,false
1,Gulf Air Bahrain GP,16,27,Nico Hulkenberg,0,false
1,Gulf Air Bahrain GP,17,31,Esteban Ocon,0,false
1,Gulf Air Bahrain GP,18,10,Pierre Gasly,0,false
1,Gulf Air Bahrain GP,19,77,Valtteri Bottas,0,false
1,Gulf Air Bahrain GP,20,2,Logan Sargeant,0,false
2,STC Saudi Arabian GP,1,1,Max Verstappen,51,false
2,STC Saudi Arabian GP,2,11,Sergio Perez,36,false
2,STC Saudi Arabian GP,3,16,Charles Leclerc,28,false
2,STC Saudi Arabian GP,4,63,George Russell,18,false
2,STC Saudi Arabian GP,5,81,Oscar Piastri,16,false
2,STC Saudi Arabian GP,6,55,Carlos Sainz,15,false
2,STC Saudi Arabian GP,7,14,Fernando Alonso,12,false
2,STC Saudi Arabian GP,8,4,Lando Norris,12,false
2,STC Saudi Arabian GP,9,44,Lewis Hamilton,8,false
2,STC Saudi Arabian GP,10,50,Oliver Bearman,6,false
2,STC Saudi Arabian GP,11,27,Nico Hulkenberg,1,false
2,STC Saudi Arabian GP,12,18,Lance Stroll,1,false
2,STC Saudi Arabian GP,13,23,Alexander Albon,0,false
2,STC Saudi Arabian GP,14,24,Guanyu Zhou,0,false
2,STC Saudi Arabian GP,15,20,Kevin Magnussen,0,false
2,STC Saudi Arabian GP,16,3,Daniel Ricciardo,0,false
2,STC Saudi Arabian GP,17,31,Esteban Ocon,0,false
2,STC Saudi Arabian GP,18,22,Yuki Tsunoda,0,false
2,STC Saudi Arabian GP,19,2,Logan Sargeant,0,false
2,STC Saudi Arabian GP,20,77,Valtteri Bottas,0,false
2,STC Saudi Arabian GP,21,10,Pierre Gasly,0,false
3,Rolex Australian GP,1,1,Max Verstappen,51,false
3,Rolex Australian GP,2,16,Charles Leclerc,47,false
3,Rolex Australian GP,3,11,Sergio Perez,46,false
3,Rolex Australian GP,4,55,Carlos Sainz,40,false
3,Rolex Australian GP,5,81,Oscar Piastri,28,false
3,Rolex Australian GP,6,4,Lando Norris,27,false
3,Rolex Australian GP,7,63,George Russell,18,false
3,Rolex Australian GP,8,14,Fernando Alonso,16,false
3,Rolex Australian GP,9,18,Lance Stroll,9,false
3,Rolex Australian GP,10,44,Lewis Hamilton,8,false
3,Rolex Australian GP,11,22,Yuki Tsunoda,6,false
3,Rolex Australian GP,12,50,Oliver Bearman,6,false
3,Rolex Australian GP,13,27,Nico Hulkenberg,3,false
3,Rolex Australian GP,14,20,Kevin Magnussen,1,false
3,Rolex Australian GP,15,23,Alexander Albon,0,false
3,Rolex Australian GP,16,24,Guanyu Zhou,0,false
3,Rolex Australian GP,17,3,Daniel Ricciardo,0,false
3,Rolex Australian GP,18,31,Esteban Ocon,0,false
3,Rolex Australian GP,19,10,Pierre Gasly,0,false
3,Rolex Australian GP,20,77,Valtteri Bottas,0,false
3,Rolex Australian GP,21,2,Logan Sargeant,0,false
4,MSC Cruises Japanese GP,1,1,Max Verstappen,77,false
4,MSC Cruises Japanese GP,2,11,Sergio Perez,64,false
4,MSC Cruises Japanese GP,3,16,Charles Leclerc,59,false
4,MSC Cruises Japanese GP,4,55,Carlos Sainz,55,false
4,MSC Cruises Japanese GP,5,4,Lando Norris,37,false
4,MSC Cruises Japanese GP,6,81,Oscar Piastri,32,false
4,MSC Cruises Japanese GP,7,63,George Russell,24,false
4,MSC Cruises Japanese GP,8,14,Fernando Alonso,24,false
4,MSC Cruises Japanese GP,9,44,Lewis Hamilton,10,false
4,MSC Cruises Japanese GP,10,18,Lance Stroll,9,false
4,MSC Cruises Japanese GP,11,22,Yuki Tsunoda,7,false
4,MSC Cruises Japanese GP,12,50,Oliver Bearman,6,false
4,MSC Cruises Japanese GP,13,27,Nico Hulkenberg,3,false
4,MSC Cruises Japanese GP,14,20,Kevin Magnussen,1,false
4,MSC Cruises Japanese GP,15,23,Alexander Albon,0,false
4,MSC Cruises Japanese GP,16,24,Guanyu Zhou,0,false
4,MSC Cruises Japanese GP,17,3,Daniel Ricciardo,0,false
4,MSC Cruises Japanese GP,18,31,Esteban Ocon,0,false
4,MSC Cruises Japanese GP,19,10,Pierre Gasly,0,false
4,MSC Cruises Japanese GP,20,77,Valtteri Bottas,0,false
4,MSC Cruises Japanese GP,21,2,Logan Sargeant,0,false
5,Lenovo Chinese GP,1,1,Max Verstappen,110,false
5,Lenovo Chinese GP,2,11,Sergio Perez,85,false
5,Lenovo Chinese GP,3,16,Charles Leclerc,76,false
5,Lenovo Chinese GP,4,55,Carlos Sainz,69,false
5,Lenovo Chinese GP,5,4,Lando Norris,58,false
5,Lenovo Chinese GP,6,81,Oscar Piastri,38,false
5,Lenovo Chinese GP,7,63,George Russell,33,false
5,Lenovo Chinese GP,8,14,Fernando Alonso,31,false
5,Lenovo Chinese GP,9,44,Lewis Hamilton,19,false
5,Lenovo Chinese GP,10,18,Lance Stroll,9,false
5,Lenovo Chinese GP,11,22,Yuki Tsunoda,7,false
5,Lenovo Chinese GP,12,50,Oliver Bearman,6,false
5,Lenovo Chinese GP,13,27,Nico Hulkenberg,4,false
5,Lenovo Chinese GP,14,20,Kevin Magnussen,1,false
5,Lenovo Chinese GP,15,23,Alexander Albon,0,false
5,Lenovo Chinese GP,16,31,Esteban Ocon,0,false
5,Lenovo Chinese GP,17,24,Guanyu Zhou,0,false
5,Lenovo Chinese GP,18,3,Daniel Ricciardo,0,false
5,Lenovo Chinese GP,19,10,Pierre Gasly,0,false
5,Lenovo Chinese GP,20,77,Valtteri Bottas,0,false
5,Lenovo Chinese GP,21,2,Logan Sargeant,0,false
6,Crypto.com Miami GP,1,1,Max Verstappen,136,false
6,Crypto.com Miami GP,2,11,Sergio Perez,103,false
6,Crypto.com Miami GP,3,16,Charles Leclerc,98,false
6,Crypto.com Miami GP,4,4,Lando Norris,83,false
6,Crypto.com Miami GP,5,55,Carlos Sainz,83,false
6,Crypto.com Miami GP,6,81,Oscar Piastri,41,false
6,Crypto.com Miami GP,7,63,George Russell,37,false
6,Crypto.com Miami GP,8,14,Fernando Alonso,33,false
6,Crypto.com Miami GP,9,44,Lewis Hamilton,27,false
6,Crypto.com Miami GP,10,22,Yuki Tsunoda,14,false
6,Crypto.com Miami GP,11,18,Lance Stroll,9,false
6,Crypto.com Miami GP,12,50,Oliver Bearman,6,false
6,Crypto.com Miami GP,13,27,Nico Hulkenberg,6,false
6,Crypto.com Miami GP,14,3,Daniel Ricciardo,5,false
6,Crypto.com Miami GP,15,31,Esteban Ocon,1,false
6,Crypto.com Miami GP,16,20,Kevin Magnussen,1,false
6,Crypto.com Miami GP,17,23,Alexander Albon,0,false
6,Crypto.com Miami GP,18,24,Guanyu Zhou,0,false
6,Crypto.com Miami GP,19,10,Pierre Gasly,0,false
6,Crypto.com Miami GP,20,77,Valtteri Bottas,0,false
6,Crypto.com Miami GP,21,2,Logan Sargeant,0,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,1,1,Max Verstappen,161,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,2,16,Charles Leclerc,113,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,3,11,Sergio Perez,107,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,4,4,Lando Norris,101,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,5,55,Carlos Sainz,93,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,6,81,Oscar Piastri,53,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,7,63,George Russell,44,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,8,44,Lewis Hamilton,35,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,9,14,Fernando Alonso,33,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,10,22,Yuki Tsunoda,15,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,11,18,Lance Stroll,11,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,12,50,Oliver Bearman,6,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,13,27,Nico Hulkenberg,6,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,14,3,Daniel Ricciardo,5,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,15,31,Esteban Ocon,1,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,16,20,Kevin Magnussen,1,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,17,23,Alexander Albon,0,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,18,24,Guanyu Zhou,0,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,19,10,Pierre Gasly,0,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,20,77,Valtteri Bottas,0,false
7,MSC Cruises Gran Premio Del Made in Italy e Dell'Emilia-Romagna,21,2,Logan Sargeant,0,false
8,Grand Prix de Monaco,1,1,Max Verstappen,169,false
8,Grand Prix de Monaco,2,16,Charles Leclerc,138,false
8,Grand Prix de Monaco,3,4,Lando Norris,113,false
8,Grand Prix de Monaco,4,55,Carlos Sainz,108,false
8,Grand Prix de Monaco,5,11,Sergio Perez,107,false
8,Grand Prix de Monaco,6,81,Oscar Piastri,71,false
8,Grand Prix de Monaco,7,63,George Russell,54,false
8,Grand Prix de Monaco,8,44,Lewis Hamilton,42,false
8,Grand Prix de Monaco,9,14,Fernando Alonso,33,false
8,Grand Prix de Monaco,10,22,Yuki Tsunoda,19,false
8,Grand Prix de Monaco,11,18,Lance Stroll,11,false
8,Grand Prix de Monaco,12,50,Oliver Bearman,6,false
8,Grand Prix de Monaco,13,27,Nico Hulkenberg,6,false
8,Grand Prix de Monaco,14,3,Daniel Ricciardo,5,false
8,Grand Prix de Monaco,15,23,Alexander Albon,2,false
8,Grand Prix de Monaco,16,31,Esteban Ocon,1,false
8,Grand Prix de Monaco,17,20,Kevin Magnussen,1,false
8,Grand Prix de Monaco,18,10,Pierre Gasly,1,false
8,Grand Prix de Monaco,19,24,Guanyu Zhou,0,false
8,Grand Prix de Monaco,20,77,Valtteri Bottas,0,false
8,Grand Prix de Monaco,21,2,Logan Sargeant,0,false
9,AWS Grand Prix du Canada,1,1,Max Verstappen,194,false
